date,event_timestamp_utc,indicator_type,event,country,actual,forecast,previous,revision,unit,importance,calendar_id,ticker,source,source_url,provider,provider_endpoint,point_in_time
2023-06-01,2023-06-01T13:00:00+00:00,pmi,ISM Manufacturing PMI,United States,46.9,47.0,47.1,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-06-01,2023-06-01T19:30:00+00:00,unemployment,Unemployment Rate,United States,3.7,3.5,3.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-06-12,2023-06-12T19:30:00+00:00,cpi,CPI m/m,United States,0.1,0.2,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-06-13,2023-06-13T11:30:00+00:00,core_cpi,Core CPI m/m,United States,0.4,0.4,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-06-14,2023-06-14T19:30:00+00:00,retail_sales,Retail Sales m/m,United States,0.3,-0.2,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-07-03,2023-07-03T13:00:00+00:00,pmi,ISM Manufacturing PMI,United States,46.0,47.2,46.9,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-07-06,2023-07-06T19:30:00+00:00,nfp,Non-Farm Employment Change,United States,209000.0,224000.0,306000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-07-06,2023-07-06T19:30:00+00:00,unemployment,Unemployment Rate,United States,3.6,3.6,3.7,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-07-11,2023-07-11T19:30:00+00:00,cpi,CPI m/m,United States,0.2,0.3,0.1,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-07-12,2023-07-12T11:30:00+00:00,core_cpi,Core CPI m/m,United States,0.2,0.3,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
