cluster_all_aligned,cluster_coherence,cluster_signal,cluster_size,dominant_mad_actionable,dominant_mad_directional_hit_30m,dominant_z_mad,dominant_z_std,event_time_utc,indicators,max_abs_mad_z,mean_abs_mad_z,mean_signed_surprise,post_240m_hit,post_240m_mae_bps,post_240m_mfe_bps,post_240m_observed_bars,post_240m_usd_bps,post_30m_hit,post_30m_mae_bps,post_30m_mfe_bps,post_30m_observed_bars,post_30m_usd_bps,post_60m_hit,post_60m_mae_bps,post_60m_mfe_bps,post_60m_observed_bars,post_60m_usd_bps,pre_240m_abs_bps,pre_240m_aligned,pre_240m_usd_bps,pre_30m_abs_bps,pre_30m_aligned,pre_30m_usd_bps,pre_60m_abs_bps,pre_60m_aligned,pre_60m_usd_bps,pre_atr_bps,pre_realized_vol_bps,trade_240m_gross_bps,trade_30m_gross_bps,trade_60m_gross_bps,year
True,1,-1,1,True,True,-1.180359,-1.138658,2022-05-02T14:00:00+00:00,pmi,1.180359,1.180359,-2.1,False,-17.3901,28.5084,8,28.2234,True,-11.4034,8.0774,1,-9.7879,False,-17.3901,8.0774,2,0.9503,1.1405,True,-1.1405,0.1901,False,0.1901,16.0856,True,-16.0856,14.104126339515929,10.892087304440567,-28.2234,9.7879,-0.9503,2022
False,0,0,2,False,False,-0.674491,-0.129648,2022-05-06T12:30:00+00:00,nfp+unemployment,0.674491,0.56609,18999.95,False,-22.0366,24.4957,8,-1.797,False,-22.0366,24.4957,1,18.7264,False,-22.0366,24.4957,2,-7.2825,15.44,,-15.44,0.0946,,0.0946,7.6667,,-7.6667,19.740936035600757,12.456435391902057,,,,2022
True,1,1,2,True,True,1.348982,1.367774,2022-05-11T12:30:00+00:00,core_cpi+cpi,1.348982,1.011736,0.15,True,-42.7269,28.7695,8,0.4747,True,-4.9373,28.7695,1,10.4444,False,-31.2381,28.7695,2,-23.0725,33.7822,True,33.7822,0.6646,True,0.6646,13.7486,True,13.7486,14.150277030054083,6.189809692985514,0.4747,10.4444,-23.0725,2022
True,1,-1,1,False,False,-0.192712,-0.063233,2022-05-17T12:30:00+00:00,retail_sales,0.192712,0.192712,-0.1,True,-13.1917,11.0089,8,-7.0229,True,-12.0529,9.2057,1,-6.1688,False,-12.0529,9.2057,2,1.5185,44.2305,True,-44.2305,0.0,False,0.0,3.3206,False,3.3206,21.055513000440225,14.353491074631373,7.0229,6.1688,-1.5185,2022
True,1,1,1,False,False,0.955529,0.92177,2022-06-01T14:00:00+00:00,pmi,0.955529,0.955529,1.7,True,-2.3351,73.6963,8,51.0924,True,-2.3351,50.7187,1,48.8507,True,-2.3351,50.7187,2,36.241,13.0596,True,13.0596,2.1478,True,2.1478,16.5984,True,16.5984,11.67354376338153,17.727866712292546,51.0924,48.8507,36.241,2022
False,0,0,2,False,False,0.782891,0.052461,2022-06-03T12:30:00+00:00,nfp+unemployment,0.782891,0.728691,32499.95,False,-19.1023,25.9046,8,6.4295,False,-7.2682,25.9046,1,14.6296,False,-7.2682,25.9046,2,2.4227,20.4581,,20.4581,0.0,,0.0,2.5165,,-2.5165,9.887169090146307,6.708553221711653,,,,2022
True,1,1,2,True,True,2.023472,2.151411,2022-06-10T12:30:00+00:00,core_cpi+cpi,2.023472,1.348982,0.2,True,-0.1889,74.7277,8,64.1468,True,-0.1889,60.5568,1,59.0453,True,-0.1889,60.5568,2,42.3236,28.0737,True,28.0737,0.3779,True,0.3779,10.1188,False,-10.1188,15.450149672933485,20.666234831594522,64.1468,59.0453,42.3236,2022
True,1,-1,1,False,False,-0.770847,-0.252931,2022-06-15T12:30:00+00:00,retail_sales,0.770847,0.770847,-0.4,False,-13.1407,38.9426,8,37.9834,False,-13.1407,20.7182,1,10.3591,False,-13.1407,21.3897,2,9.6877,65.4641,False,65.4641,0.1918,True,-0.1918,31.4577,False,31.4577,21.887744086252553,13.338920879545551,-37.9834,-10.3591,-9.6877,2022
True,1,-1,1,False,False,-0.899321,-0.867549,2022-07-01T14:00:00+00:00,pmi,0.899321,0.899321,-1.6,True,-19.5196,32.7891,8,-10.6733,False,-13.1733,32.7891,1,25.5774,False,-13.1733,32.7891,2,9.1348,62.4928,False,62.4928,0.0,False,0.0,1.7305,False,1.7305,18.191067077065604,9.049189776842121,10.6733,-25.5774,-9.1348,2022
False,0.5,1,2,True,True,1.348982,0.090394,2022-07-08T12:30:00+00:00,nfp+unemployment,1.348982,0.674491,56000.0,False,-34.7605,38.8963,8,-6.0068,True,-6.0068,38.8963,1,11.9151,False,-13.4906,38.8963,2,-10.0441,41.0334,False,-41.0334,0.0985,False,-0.0985,4.4332,False,-4.4332,18.071172421842217,8.440035329478837,-6.0068,11.9151,-10.0441,2022
